"","PWGTP","AGEP","PUMA","ENG_label","LANP_label"
"9118",11,49,"00308","Very well","Albanian"
"9119",8,62,"00100","Not well","Filipino"
"9120",7,61,"00100","Not well","Ilocano"
"9121",10,92,"00100","Not at all","Ilocano"
"9122",55,48,"00307","Very well","Tagalog"
"9123",14,72,"00305","Not well","Ilocano"
"9124",13,67,"00305","Well","Ilocano"
"9125",23,34,"00305","Very well","Ilocano"
"9126",48,76,"00305","Not well","Korean"
"9127",4,78,"00301","Well","Chinese"
"9128",58,32,"00306","Very well","Japanese"
"9129",27,44,"00304","Well","Korean"
"9130",21,37,"00308","Very well","Hungarian"
"9131",46,29,"00305","Very well","Samoan"
"9132",50,27,"00305","Very well","Samoan"
"9133",48,19,"00305","Very well","Samoan"
"9134",22,36,"00305","Very well","Japanese"
"9135",4,22,"00200","Very well","Hawaiian"
"9136",24,34,"00200","Very well","Chinese"
"9137",10,68,"00200","Not well","Chinese"
"9138",12,66,"00200","Well","Chinese"
"9139",4,57,"00200","Well","Other English-based Creole languages"
"9140",3,53,"00200","Well","Other English-based Creole languages"
"9141",4,80,"00200","Well","Other English-based Creole languages"
"9142",27,38,"00306","Very well","Korean"
"9143",5,63,"00200","Very well","Swahili"
"9144",60,53,"00303","Not well","Chuukese"
"9145",65,45,"00303","Not well","Chuukese"
"9146",67,27,"00303","Very well","Chuukese"
"9147",86,24,"00302","Very well","Spanish"
"9148",20,36,"00306","Very well","Tagalog"
"9149",17,37,"00305","Very well","Lao"
"9150",9,61,"00303","Well","Chinese"
"9151",9,67,"00303","Very well","Chinese"
"9152",26,68,"00200","Very well","Japanese"
"9153",35,64,"00200","Well","Japanese"
"9154",12,46,"00306","Very well","Tagalog"
"9155",32,88,"00304","Not well","Japanese"
"9156",29,30,"00305","Well","Tagalog"
"9157",22,31,"00305","Well","Tagalog"
"9158",31,5,"00305","Well","Ilocano"
"9159",34,27,"00305","Well","Ilocano"
"9160",35,27,"00305","Well","Tagalog"
"9161",30,5,"00305","Not well","Ilocano"
"9162",32,28,"00305","Well","Tagalog"
"9163",37,58,"00100","Well","Chuukese"
"9164",36,55,"00100","Not at all","Chuukese"
"9165",13,70,"00303","Very well","Italian"
"9166",13,58,"00307","Very well","Tagalog"
"9167",16,53,"00307","Very well","Tagalog"
"9168",10,22,"00100","Very well","Hawaiian"
"9169",36,23,"00100","Very well","Hawaiian"
"9170",7,71,"00305","Not well","Tagalog"
"9171",9,76,"00305","Not well","Tagalog"
"9172",5,54,"00305","Very well","Spanish"
"9173",14,86,"00307","Well","Ilocano"
"9174",15,63,"00307","Not well","Ilocano"
"9175",15,57,"00307","Well","Ilocano"
"9176",16,11,"00307","Very well","Ilocano"
"9177",17,38,"00307","Well","Ilocano"
"9178",18,31,"00307","Well","Ilocano"
"9179",14,74,"00307","Very well","Tagalog"
"9180",17,77,"00306","Very well","Japanese"
"9181",16,87,"00306","Well","Japanese"
"9182",14,36,"00302","Well","Japanese"
"9183",34,41,"00306","Very well","Spanish"
"9184",28,49,"00306","Very well","Spanish"
"9185",15,57,"00303","Very well","Japanese"
"9186",17,92,"00303","Well","Japanese"
"9187",15,41,"00302","Well","Cebuano"
"9188",13,66,"00302","Well","Cebuano"
"9189",19,36,"00302","Very well","Cebuano"
"9190",17,61,"00302","Not well","Cebuano"
"9191",18,13,"00302","Very well","Cebuano"
"9192",19,13,"00302","Very well","Cebuano"
"9193",10,53,"00303","Very well","Filipino"
"9194",9,55,"00303","Very well","Filipino"
"9195",38,58,"00305","Well","Vietnamese"
"9196",41,45,"00305","Not well","Vietnamese"
"9197",42,77,"00302","Very well","Samoan"
"9198",6,68,"00200","Very well","German"
